filename,height,width,mean,std,min,max,pct_lt_220,pct_lt_240,pct_lt_260,timestamp,processed_at
3RIMG_24JAN2026_1645_L2B_OLR_V01R00.h5,2816,2805,-201.06341552734375,596.7002563476562,-999.0,320.5881042480469,53.052382109868745,59.17095841435748,68.33696675984443,13709805.0,2026-02-15T03:21:58.049374
3RIMG_24JAN2026_1715_L2B_OLR_V01R00.h5,2816,2805,-201.11134338378906,596.6810913085938,-999.0,316.46728515625,53.01612380489386,59.16260279938421,68.37013601928375,13709835.0,2026-02-15T03:21:58.239329
3RIMG_24JAN2026_1745_L2B_OLR_V01R00.h5,2816,2805,-200.3714599609375,596.9832763671875,-999.0,314.16766357421875,52.7993082563604,58.88548756279371,67.9379608248258,13709865.0,2026-02-15T03:21:58.420915
3RIMG_24JAN2026_1815_L2B_OLR_V01R00.h5,2816,2805,-199.5757598876953,596.8485107421875,-999.0,314.26531982421875,52.726968886728244,58.808742505266565,67.92203451628586,13709895.0,2026-02-15T03:21:58.600272
3RIMG_24JAN2026_1845_L2B_OLR_V01R00.h5,2816,2805,-199.4739227294922,596.8319702148438,-999.0,313.1931457519531,52.67149266731486,58.828833961270455,68.0599781234808,13709925.0,2026-02-15T03:21:58.786025
3RIMG_24JAN2026_1915_L2B_OLR_V01R00.h5,2816,2805,-199.87489318847656,596.4728393554688,-999.0,312.1376647949219,52.84168135229298,59.04343400583374,68.64141498541565,13709955.0,2026-02-15T03:21:58.966004
3RIMG_24JAN2026_1945_L2B_OLR_V01R00.h5,2816,2805,-200.4021453857422,596.0399780273438,-999.0,310.3325500488281,53.06270002835846,59.35109787716739,69.36750526656944,13709985.0,2026-02-15T03:21:59.145418
3RIMG_24JAN2026_2015_L2B_OLR_V01R00.h5,2816,2805,-200.8455047607422,595.6595458984375,-999.0,310.7092590332031,53.225444619996765,59.70342630853994,69.9421436963215,13710015.0,2026-02-15T03:21:59.332167
3RIMG_24JAN2026_2045_L2B_OLR_V01R00.h5,2816,2805,-200.96286010742188,595.5269165039062,-999.0,308.0267639160156,53.2868963701183,59.78600763652568,70.13376579970831,13710045.0,2026-02-15T03:21:59.524224
3RIMG_24JAN2026_2115_L2B_OLR_V01R00.h5,2816,2805,-200.9287872314453,595.3582153320312,-999.0,307.3623352050781,53.26955213903744,59.850054691298006,70.44606323934532,13710075.0,2026-02-15T03:21:59.708505
3RIMG_24JAN2026_2145_L2B_OLR_V01R00.h5,2816,2805,-201.31982421875,595.2717895507812,-999.0,306.8908386230469,53.31367231810079,60.00677311213741,70.79341628180198,13710105.0,2026-02-15T03:21:59.892639
3RIMG_24JAN2026_2215_L2B_OLR_V01R00.h5,2816,2805,-201.50848388671875,595.2447509765625,-999.0,305.6805725097656,53.28764331145681,60.08840493842165,70.98265830092367,13710135.0,2026-02-15T03:22:00.082056
3RIMG_24JAN2026_2245_L2B_OLR_V01R00.h5,2816,2805,-200.94851684570312,595.3018798828125,-999.0,305.6468505859375,53.04601411845729,59.8797930845892,70.92920768514017,13710165.0,2026-02-15T03:22:00.268400
3RIMG_24JAN2026_2315_L2B_OLR_V01R00.h5,2816,2805,-200.963134765625,595.5181884765625,-999.0,304.5958557128906,52.94263237319722,59.73310140171771,70.76103194376925,13710195.0,2026-02-15T03:22:00.446026
3RIMG_24JAN2026_2345_L2B_OLR_V01R00.h5,2816,2805,-200.53448486328125,595.7283325195312,-999.0,309.3146667480469,52.73645124372063,59.4449972654351,70.51208525765679,13710225.0,2026-02-15T03:22:00.632137
3RIMG_25JAN2026_0015_L2B_OLR_V01R00.h5,2816,2805,-200.3222198486328,595.9967041015625,-999.0,316.7536315917969,52.58313836898396,59.159121293145354,70.2646830943121,13710255.0,2026-02-15T03:22:00.812335
3RIMG_25JAN2026_0045_L2B_OLR_V01R00.h5,2816,2805,-199.81076049804688,596.2264404296875,-999.0,323.32537841796875,52.39411157024794,58.872067938745744,69.91769719251337,13710285.0,2026-02-15T03:22:00.994554
3RIMG_25JAN2026_0115_L2B_OLR_V01R00.h5,2816,2805,-199.62722778320312,596.6453857421875,-999.0,329.481201171875,52.222656883001136,58.53646339734241,69.39033128747367,13710315.0,2026-02-15T03:22:01.177796
3RIMG_25JAN2026_0145_L2B_OLR_V01R00.h5,2816,2805,-198.95938110351562,596.9072265625,-999.0,335.7013244628906,51.97738160346783,58.289529654837146,68.94405282774267,13710345.0,2026-02-15T03:22:01.361759
3RIMG_25JAN2026_0215_L2B_OLR_V01R00.h5,2816,2805,-198.64630126953125,597.1793823242188,-999.0,339.9245300292969,51.79740672095284,58.179792578188305,68.64958070004862,13710375.0,2026-02-15T03:22:01.543663
3RIMG_25JAN2026_0245_L2B_OLR_V01R00.h5,2816,2805,-198.15396118164062,597.5587768554688,-999.0,344.3331604003906,51.417454120077785,57.97921983876195,68.20745472775887,13710405.0,2026-02-15T03:22:01.722817
3RIMG_25JAN2026_0315_L2B_OLR_V01R00.h5,2816,2805,-197.93556213378906,598.0259399414062,-999.0,348.88165283203125,51.086571767136604,57.69729379355047,67.76793672014261,13710435.0,2026-02-15T03:22:01.898493
3RIMG_25JAN2026_0345_L2B_OLR_V01R00.h5,2816,2805,-197.1543731689453,598.5166625976562,-999.0,350.7923278808594,50.74304205153136,57.248432689191375,67.03503534678335,13710465.0,2026-02-15T03:22:02.076718
3RIMG_25JAN2026_0415_L2B_OLR_V01R00.h5,2816,2805,-196.27711486816406,598.9681396484375,-999.0,352.216552734375,50.47042112299466,56.849186213741696,66.31457877572517,13710495.0,2026-02-15T03:22:02.249593
3RIMG_25JAN2026_0445_L2B_OLR_V01R00.h5,2816,2805,-195.63609313964844,599.4042358398438,-999.0,353.2095031738281,50.26002420596337,56.53439474963539,65.71324035812673,13710525.0,2026-02-15T03:22:02.424904
3RIMG_25JAN2026_0515_L2B_OLR_V01R00.h5,2816,2805,-195.11599731445312,600.0640869140625,-999.0,353.2229919433594,50.02277538081348,56.169191075190405,64.9854662939556,13710555.0,2026-02-15T03:22:02.600793
3RIMG_25JAN2026_0545_L2B_OLR_V01R00.h5,2816,2805,-194.39356994628906,600.455810546875,-999.0,353.44244384765625,49.86508213822719,55.90882504861449,64.43918631502189,13710585.0,2026-02-15T03:22:02.781785
3RIMG_25JAN2026_0615_L2B_OLR_V01R00.h5,2816,2805,-194.04974365234375,600.8801879882812,-999.0,352.7113037109375,49.841357255712204,55.74363707259763,64.00289661319073,13710615.0,2026-02-15T03:22:02.966054
3RIMG_25JAN2026_0645_L2B_OLR_V01R00.h5,2816,2805,-193.85540771484375,601.2122192382812,-999.0,349.1993103027344,49.8164043509966,55.69465544482256,63.72694609868741,13710645.0,2026-02-15T03:22:03.148744
3RIMG_25JAN2026_0715_L2B_OLR_V01R00.h5,2816,2805,-193.3206024169922,601.2916259765625,-999.0,346.2800598144531,49.92388794360719,55.72358359666181,63.549908341435746,13710675.0,2026-02-15T03:22:03.329568
3RIMG_25JAN2026_0745_L2B_OLR_V01R00.h5,2816,2805,-193.1639862060547,601.4832153320312,-999.0,348.9288635253906,49.974528034354236,55.65716911764705,63.43463883487279,13710705.0,2026-02-15T03:22:03.510022
3RIMG_25JAN2026_0815_L2B_OLR_V01R00.h5,2816,2805,-193.35150146484375,601.6445922851562,-999.0,351.2834777832031,50.11330720304651,55.74842256117323,63.41750982417761,13710735.0,2026-02-15T03:22:03.693196
3RIMG_25JAN2026_0845_L2B_OLR_V01R00.h5,2816,2805,-193.3722381591797,601.6185302734375,-999.0,355.5528259277344,50.25209903176147,55.862476705558265,63.49024165451305,13710765.0,2026-02-15T03:22:03.880407
3RIMG_25JAN2026_0915_L2B_OLR_V01R00.h5,2816,2805,-193.52218627929688,601.5532836914062,-999.0,356.3157958984375,50.39461290714633,56.07498784637822,63.67486276535408,13710795.0,2026-02-15T03:22:04.064068
